BLOCK ram          0x01100000..0x011a8bcf  total=691152  code=434088 (62.81%)  data=175066 (25.33%)  undef=81998 (11.86%)

TOTAL total=691152  code=434088 (62.81%)  data=175066 (25.33%)  undef=81998 (11.86%)
FUNCTIONS 1683

UNDEFINED RUNS: 3518 (largest first)
  0x011946b0  len=8
  0x01194700  len=8
  0x01194bc0  len=8
  0x01194be0  len=8
  0x01194bf0  len=8
  0x01194c10  len=8
  0x01194c20  len=8
  0x01194c40  len=8
  0x01194c50  len=8
  0x01194c70  len=8
  0x01194c80  len=8
  0x01194ca0  len=8
  0x01194cb0  len=8
  0x01194cd0  len=8
  0x01194ce0  len=8
  0x01194d00  len=8
  0x01194d10  len=8
  0x01194d60  len=8
  0x01194d70  len=8
  0x01194d90  len=8
  0x01194da0  len=8
  0x01194dc0  len=8
  0x01194dd0  len=8
  0x01194e10  len=8
  0x01195650  len=8
  0x01195698  len=8
  0x011956b0  len=8
  0x011956c8  len=8
  0x011956e0  len=8
  0x011956f8  len=8
  0x01195710  len=8
  0x01195728  len=8
  0x01195740  len=8
  0x01195758  len=8
  0x01195770  len=8
  0x01195788  len=8
  0x011957a0  len=8
  0x011957b8  len=8
  0x011957d0  len=8
  0x011957e8  len=8
  0x01195800  len=8
  0x01195818  len=8
  0x01195830  len=8
  0x01195878  len=8
  0x01195890  len=8
  0x011958a8  len=8
  0x011958c0  len=8
  0x011958d8  len=8
  0x011958f0  len=8
  0x01195908  len=8
  0x01195938  len=8
  0x01195950  len=8
  0x01195998  len=8
  0x011959b0  len=8
  0x011959c8  len=8
  0x011959e0  len=8
  0x011959f8  len=8
  0x01195a10  len=8
  0x01195a28  len=8
  0x01195a40  len=8
  0x01195a58  len=8
  0x01195a70  len=8
  0x01195a88  len=8
  0x01195aa0  len=8
  0x01195ab8  len=8
  0x01195ae8  len=8
  0x01195b00  len=8
  0x01195b18  len=8
  0x01195b30  len=8
  0x01195b48  len=8
  0x01195b60  len=8
  0x01195b78  len=8
  0x01195b90  len=8
  0x01195ba8  len=8
  0x01195bc0  len=8
  0x01195bd8  len=8
  0x01195bf0  len=8
  0x01195c08  len=8
  0x01195ca0  len=8
  0x01195d08  len=8
  0x01195d38  len=8
  0x01195d68  len=8
  0x01195d98  len=8
  0x01195dc8  len=8
  0x01195fc0  len=8
  0x0119a548  len=8
  0x0119a828  len=8
  0x0119a860  len=8
  0x0119a880  len=8
  0x0119a8b8  len=8
  0x0119aaa8  len=8
  0x0119aab8  len=8
  0x0119ab20  len=8
  0x0119ab50  len=8
  0x0119ad70  len=8
  0x0119b120  len=8
