BLOCK ram          0x01100000..0x011a863f  total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)

TOTAL total=689728  code=435792 (63.18%)  data=172545 (25.02%)  undef=81391 (11.80%)
FUNCTIONS 1686

UNDEFINED RUNS: 3448 (largest first)
  0x0119bcf0  len=8
  0x0119bd00  len=8
  0x0119bd50  len=8
  0x0119bd60  len=8
  0x0119bdb0  len=8
  0x0119bdc0  len=8
  0x0119bde0  len=8
  0x0119bdf0  len=8
  0x0119be10  len=8
  0x0119be20  len=8
  0x0119be40  len=8
  0x0119be50  len=8
  0x0119bea0  len=8
  0x0119beb0  len=8
  0x0119bed0  len=8
  0x0119bee0  len=8
  0x0119bf00  len=8
  0x0119bf10  len=8
  0x0119bf60  len=8
  0x0119bf70  len=8
  0x0119bfc0  len=8
  0x0119bfd0  len=8
  0x0119bff0  len=8
  0x0119c000  len=8
  0x0119c030  len=8
  0x0119c050  len=8
  0x0119c060  len=8
  0x0119c080  len=8
  0x0119c090  len=8
  0x0119c0b0  len=8
  0x0119c0c0  len=8
  0x0119c0e0  len=8
  0x0119c0f0  len=8
  0x0119c120  len=8
  0x0119c140  len=8
  0x0119c150  len=8
  0x0119c170  len=8
  0x0119c180  len=8
  0x0119c1a0  len=8
  0x0119c1b0  len=8
  0x0119c1d0  len=8
  0x0119c1e0  len=8
  0x0119c200  len=8
  0x0119c210  len=8
  0x0119c230  len=8
  0x0119c240  len=8
  0x0119c270  len=8
  0x0119c2a0  len=8
  0x0119c2c0  len=8
  0x0119c2d0  len=8
  0x0119c2f0  len=8
  0x0119c300  len=8
  0x0119c320  len=8
  0x0119c330  len=8
  0x0119c350  len=8
  0x0119c360  len=8
  0x0119c380  len=8
  0x0119c390  len=8
  0x0119c3b0  len=8
  0x0119c3c0  len=8
  0x0119c410  len=8
  0x0119c420  len=8
  0x0119c440  len=8
  0x0119c450  len=8
  0x0119c470  len=8
  0x0119c480  len=8
  0x0119c4a0  len=8
  0x0119c4b0  len=8
  0x0119c4d0  len=8
  0x0119c4e0  len=8
  0x0119c500  len=8
  0x0119c510  len=8
  0x0119c540  len=8
  0x0119c560  len=8
  0x0119c570  len=8
  0x0119c590  len=8
  0x0119c5a0  len=8
  0x0119c5c0  len=8
  0x0119c5d0  len=8
  0x0119c5f0  len=8
  0x0119c600  len=8
  0x0119c678  len=8
  0x0119c768  len=8
  0x0119c7e0  len=8
  0x0119c7f0  len=8
  0x0119c8c0  len=8
  0x0119c8d0  len=8
  0x0119c928  len=8
  0x0119cb00  len=8
  0x0119cc00  len=8
